age,is_EU,counts_pictures,counts_details,whazzup_len,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,isVip,isHighlighted,isFlirtstar,isNew,isMobile,isOnline,isInfluencer
-0.5060559732080652,1,-0.8567519951100059,-0.5196190155515764,-0.764557161054038,1,1,0,1.5286990118625672,1,0,1,0,0,0,0,0,0,0,0,0,0
-1.0164590669540479,1,-0.40423096249831714,0.9526604734756148,1.0803160913389926,1,1,1,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,1,0,0
-1.5268621607000308,1,2.084634716865971,0.8606430054114153,1.195620669613557,1,1,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,1,0,0
-1.5268621607000308,1,-0.8567519951100059,-0.21289412200424493,-0.764557161054038,0,1,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.5060559732080652,1,-0.17797044619247274,0.7072805586377496,-0.764557161054038,0,1,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,1,1,0,0
-0.5060559732080652,1,0.048290070113371664,-0.5809639942610427,-0.764557161054038,0,1,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,1,0,0
-1.5268621607000308,1,-0.8567519951100059,-1.7465185897409023,-0.764557161054038,1,1,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,1,0,0
1.0251533080298831,1,-0.8567519951100059,-1.7465185897409023,-0.764557161054038,0,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.5060559732080652,1,-0.17797044619247274,-0.09020416458531223,-0.764557161054038,0,1,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,1,0,0
-1.5268621607000308,1,-0.40423096249831714,-1.7465185897409023,-0.764557161054038,0,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,1,1,0,0
-1.0164590669540479,1,-0.40423096249831714,0.09383077154308649,-0.764557161054038,1,1,1,1.5286990118625672,1,1,0,0,0,0,0,0,0,1,0,0,0
1.5355564017758658,1,-0.6304914788041616,1.0753504308945474,1.4646646855875407,1,1,1,3.2457970578263735,1,0,1,1,0,0,0,0,0,0,1,0,0
1.0251533080298831,1,-0.17797044619247274,1.3207303457324124,0.7728372159401541,0,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,1,0,0,0
-0.5060559732080652,1,0.048290070113371664,1.0140054521850812,-0.764557161054038,0,1,1,-0.18839903410123943,1,0,0,0,0,0,1,0,0,0,0,0,0
1.0251533080298831,1,-1.0830125114158504,1.1980403883134798,1.1187509507638473,0,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,1,1,0,0
-1.0164590669540479,1,-0.40423096249831714,-0.9183613771631073,-0.764557161054038,1,1,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5147502142839003,1,-0.6304914788041616,0.7379530479924828,-0.764557161054038,0,0,0,-0.18839903410123943,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.5060559732080652,1,-0.17797044619247274,-1.7465185897409023,-0.764557161054038,0,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.5060559732080652,1,1.8583742005601267,1.3207303457324124,0.6959674970904445,1,1,1,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,0,0,0
-1.0164590669540479,1,-0.8567519951100059,0.15517575025255284,-0.764557161054038,0,0,0,-0.18839903410123943,0,0,0,1,0,0,0,0,0,1,0,0,0
-1.0164590669540479,1,0.048290070113371664,1.0753504308945474,0.11944460571762244,1,1,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,1,0,0
1.0251533080298831,1,-0.40423096249831714,-0.5809639942610427,-0.764557161054038,1,1,1,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,0,0,0
-1.5268621607000308,1,-0.17797044619247274,1.0753504308945474,2.6945801871828947,1,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,1,0,0
1.0251533080298831,1,-0.8567519951100059,-0.5196190155515764,-0.764557161054038,0,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0251533080298831,1,-0.40423096249831714,0.9526604734756148,-0.764557161054038,1,0,0,-0.18839903410123943,0,0,1,0,0,0,0,0,0,0,1,0,0
-1.5268621607000308,1,-0.6304914788041616,1.0753504308945474,0.04257488686791283,1,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.5060559732080652,1,-0.8567519951100059,1.0140054521850812,-0.764557161054038,1,1,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,1,1,0,0
-0.5060559732080652,1,-0.6304914788041616,1.3207303457324124,-0.764557161054038,0,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,1,0,1,0
1.0251533080298831,1,-0.8567519951100059,-0.826343909098908,-0.764557161054038,1,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,1,0,1,0
-1.5268621607000308,1,-0.8567519951100059,-1.7465185897409023,-0.764557161054038,0,0,0,-0.18839903410123943,0,0,1,0,0,0,0,0,0,1,0,0,0
-1.0164590669540479,1,-0.8567519951100059,-0.9183613771631073,0.6575326376655897,1,0,0,1.5286990118625672,1,0,1,0,0,0,0,0,0,0,1,1,0
0.5147502142839003,1,-0.40423096249831714,-0.09020416458531223,1.7721435609863792,1,0,0,-0.18839903410123943,0,0,1,0,0,0,0,0,0,0,1,0,0
0.0043471205379175554,1,-0.8567519951100059,-1.7465185897409023,-0.764557161054038,1,1,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0251533080298831,1,-0.8567519951100059,-1.7465185897409023,0.4653583405413157,0,0,0,-0.18839903410123943,0,0,0,1,0,0,0,0,0,1,0,0,0
0.5147502142839003,1,-0.17797044619247274,-0.21289412200424493,-0.764557161054038,0,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,1,0,0
